estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
RJ,2020-05-04,11721,582,1065,46,539.5714285714286,55.42857142857143,0.6581196581196581,4.0689646659444465
RJ,2020-05-05,12391,670,1123,58,555.2857142857143,55.0,0.6244725738396626,4.0931063569779065
RJ,2020-05-06,13295,904,1205,82,632.2857142857143,58.714285714285715,0.8266666666666665,4.123688341667586
RJ,2020-05-07,14156,861,1394,189,671.8571428571429,77.14285714285714,1.3478260869565217,4.150940553965477
RJ,2020-05-08,15741,1585,1503,109,796.4285714285714,83.14285714285714,1.541484716157205,4.197032318918001
RJ,2020-05-09,16929,1188,1653,150,911.8571428571429,97.42857142857143,1.9912280701754388,4.228631304989704
RJ,2020-05-10,17062,133,1714,61,846.1428571428571,99.28571428571429,1.8600823045267492,4.232029937620133
RJ,2020-05-11,17939,877,1770,56,888.2857142857143,100.71428571428571,1.764705882352941,4.2537982298682495
RJ,2020-05-12,18486,547,1928,158,870.7142857142857,115.0,1.9061371841155237,4.266842948700584
RJ,2020-05-13,18728,242,2050,122,776.1428571428571,120.71428571428571,1.7796052631578945,4.272491400688568
RJ,2020-05-14,19467,739,2247,197,758.7142857142857,121.85714285714286,1.6327160493827164,4.289299028878417
RJ,2020-05-15,19987,520,2438,191,606.5714285714286,133.57142857142858,1.663817663817664,4.300747612466259
RJ,2020-05-16,21601,1614,2614,176,667.4285714285714,137.28571428571428,1.6994382022471908,4.334473856911537
RJ,2020-05-17,22238,637,2715,101,739.4285714285714,143.0,1.676470588235294,4.347095725894669
RJ,2020-05-18,26665,4427,2852,137,1246.5714285714287,154.57142857142858,1.788659793814433,4.425941588018896
RJ,2020-05-19,27805,1140,3079,227,1331.2857142857142,164.42857142857142,1.9896103896103894,4.444122899412919
RJ,2020-05-20,30372,2567,3237,158,1663.4285714285713,169.57142857142858,1.8880778588807787,4.482473391205879
RJ,2020-05-21,32089,1717,3412,175,1803.142857142857,166.42857142857142,1.1574074074074074,4.506356183245431
RJ,2020-05-22,33589,1500,3657,245,1943.142857142857,174.14285714285714,1.0945017182130585,4.526197074370194
RJ,2020-05-23,34533,944,3905,248,1847.4285714285713,184.42857142857142,0.8929618768328444,4.538234308637641
RJ,2020-05-24,37912,3379,3993,88,2239.1428571428573,182.57142857142858,0.8388489208633093,4.578776695691345
RJ,2020-05-25,39298,1386,4105,112,1804.7142857142858,179.0,0.7773049645390072,4.594370448312677
RJ,2020-05-26,40024,726,4361,256,1745.5714285714287,183.14285714285714,0.5925465838509316,4.6023204898753525
RJ,2020-05-27,42398,2374,4605,244,1718.0,195.42857142857142,0.6189349112426036,4.627345370520798
RJ,2020-05-28,44886,2488,4856,251,1828.142857142857,206.28571428571428,0.6928487690504102,4.652110905126997
RJ,2020-05-29,47953,3067,5079,223,2052.0,203.14285714285714,0.5208556149732618,4.680815782365699
RJ,2020-05-30,52420,4467,5277,198,2555.285714285714,196.0,0.42767950052029147,4.719497016610582
RJ,2020-05-31,53388,968,5344,67,2210.8571428571427,193.0,0.34965034965034963,4.727443651795669
RJ,2020-06-01,54530,1142,5462,118,2176.0,193.85714285714286,0.25415896487985207,4.736635497686821
RJ,2020-06-02,56732,2202,5686,224,2386.8571428571427,189.28571428571428,0.15117289313640317,4.753828094223141
RJ,2020-06-03,59240,2508,6010,324,2406.0,200.71428571428572,0.18365627632687442,4.772615049849171
RJ,2020-06-04,60932,1692,6327,317,2292.285714285714,210.14285714285714,0.26266094420600866,4.784845433412646
RJ,2020-06-05,63066,2134,6473,146,2159.0,199.14285714285714,0.1435602953240361,4.799795286471086
RJ,2020-06-06,64533,1467,6639,166,1730.4285714285713,194.57142857142858,0.05499612703330765,4.809781854990297
RJ,2020-06-07,67756,3223,6707,68,2052.5714285714284,194.71428571428572,0.06651017214397494,4.830947759347384
